comp,fiscalDateEnding,GrossMargin,OperatingMargin,NetProfitMargin,ROE,ROA,D/E,CurrentRatio,InterestCoverage,Debt/EBITDA,AssetTurover,InventoryTurnover,ARTurnover,APTurnover,RevenueGrowth,NetIncomeGrowth,EPSGrowth,FCFGrowth,DividendYield,P/E,P/S,P/B
SHEL,2005-12-31,0.17640538452259472,0.12173859179541684,0.08251855860672706,0.2783753464431833,0.11530366806975345,1.337292683999824,1.1521585612730096,362.5339805825243,2.4652690482948785,1.3973058911423313,12.77417071197411,NA,3.660498746612957,NA,NA,NA,NA,0.18522361359570658,8.17789548022599,0.6748281474647166,2.2765244874840525
CVX,2005-12-31,0.28909182643794146,0.17403632694248233,0.07113521695257316,0.22495053928138362,0.11204532992140377,1.0044833748165167,1.3728359521810403,NA,1.558071621253743,1.575103510207974,34.191215724338754,11.533985102420857,8.765833022271993,NA,NA,NA,NA,0.31354588691210145,8.680428136354353,0.6174841387207871,1.9526669904662073
XOM,2005-12-31,0.4253749865112766,0.16382594151289523,0.09746951548505449,0.32495098303743275,0.17342261261909905,0.8737520910906049,1.5838210205800418,2.1769851227818604,1.3686813186813187,1.779249766001872,22.85183993133784,13.48711977878038,6.794538900762385,NA,NA,NA,NA,0.15826953889976855,9.83712784632549,0.9588200849458832,3.196584363928372
NFG,2006-09-30,0.4340419926998337,0.15878330561353768,0.061656713585676495,0.09565990238036191,0.03668975712507851,1.6072645303769426,1.5159556169901365,4.8964325544892535,4.334867853179333,0.5950650787459735,13.182623707802067,9.862977201766785,9.528105597065412,NA,NA,NA,NA,0.28830811554332875,22.645463781853994,1.3962448744125822,2.1662628547301743
SHEL,2006-12-31,0.17028336652605497,0.11817027082124543,0.07979425739779517,0.24064090195410778,0.10813682653564324,1.1381400979891418,1.1972298952415699,135.04659498207886,2.3925993677052473,1.3551956000612047,11.395692440232608,8.04006858814333,9.979667282809611,0.03949388878202731,0.005175615345106799,0.050829942594865285,-0.49523725205372093,0.03456137872580873,8.95935067997799,0.7149047342752749,2.1559862285530524
XOM,2006-12-31,0.43528804268672133,0.2634501568975333,0.1045983555549671,0.3469660236815291,0.18035294386229253,0.9238168019394961,1.5522666284286213,28.60494537090282,0.9483066435836399,1.7242426317832111,19.90433078215419,13.047992536797734,8.501634508052943,0.01876281428725579,0.09327428729587606,0.15936952711985586,-0.3234186256276258,0.01670364087172126,11.57552870168,1.2107812668750513,4.016315165633323
CVX,2006-12-31,0.3140092709810678,0.1546607144556868,0.08156369278215098,0.24861101037208966,0.12921856621527883,0.9209255095379706,1.2779048892956457,NA,1.586980976426768,1.5842657659016195,30.957689003436425,11.919559791241207,8.644017991004498,0.06013118062563061,0.21554720192921484,0.19266055080315203,0.41666666666666674,0.027335781313749488,9.426923076152994,0.7688946576643125,2.343636870662363
NFG,2007-09-30,0.500834491259415,0.1944031230173478,0.1654543172420015,0.20701249417987275,0.0867847851513677,1.3853546888294659,1.261279265089474,5.792858603862899,3.9807668239611775,0.5245241502186496,9.994512290897667,9.077325001780247,9.275772843645507,-0.08934733834150044,1.4437146519324213,1.4645447667296905,0.5186751740704525,0.0260628070925016,11.832560514468597,1.9577482211460675,2.4494878646344227
XOM,2007-12-31,0.4151840890077366,0.1591756371145277,0.10264096387978294,0.3335194888388824,0.1677530754042019,0.9529902596869302,1.4741905611194952,179.6975,1.3792865718123357,1.6343676935914278,20.865993326720172,10.854622770919066,7.913505933855467,0.04770744237160218,0.028101265822784827,0.09969788532836499,0.14591611203579857,0.014622691856121252,12.869505493820979,1.3209384485419473,4.292230893908362
SHEL,2007-12-31,0.16125886076305154,0.11454205103124947,0.08806235278906746,0.25275088738302676,0.11626897242735741,1.157647628267183,1.2226330734022717,25.630188679245283,2.660795075279982,1.3203028166400712,9.472399454020252,6.473236054000946,8.209551844617458,0.11584625758597444,0.23146765191415763,0.2620789455945727,0.899605183307806,0.0333729216152019,8.443649420701542,0.7435676341130243,2.1341398838334946
