comp,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedEPS,taxRate,freeCashFlow,dividend,closePrice
XOM,2010-12-31,USD,93067000000.0,370125000000.0,277058000000.0,277058000000.0,40122000000,14683000000.0,1012000000.0,52945000000.0,NA,NA,NA,259000000,NA,10677000000.0,NA,14760000000,52959000000,21561000000,NA,31398000000.0,NA,53218000000,67978000000.0,30460000000,302510000000.0,58984000000.0,7825000000,7825000000,12976000000.0,32284000000.0,243526000000.0,199548000000.0,NA,8640000000.0,8640000000.0,0.0,NA,35338000000.0,2000000.0,5899000000,NA,149831000000.0,62633000000.0,30780000000,NA,NA,2255000000,87198000000.0,NA,12227000000.0,NA,NA,15014000000.0,12476000000,39821000000.0,146839000000.0,-156608000000.0,298899000000.0,9371000000,4897000000,48413000000,NA,NA,NA,NA,14760000000,26871000000,5863000000.0,-1148000000.0,NA,-24204000000,-26924000000,NA,NA,NA,NA,8498000000,8498000000,NA,NA,NA,NA,-13093000000.0,NA,-2868000000.0,-153000000.0,6.22013477639371,0.40712626748994507,24362554296.720108,1.74,73.12
CVX,2010-12-31,USD,68668000000.0,198198000000.0,129530000000.0,129530000000.0,25375000000,4767000000.0,526000000.0,43293000000.0,NA,NA,NA,50000000,NA,NA,NA,13559000000,32055000000,12919000000,NA,19136000000.0,NA,32105000000,45664000000.0,19024000000,184769000000.0,48841000000.0,14060000000,14060000000,5493000000.0,20759000000.0,135928000000.0,104504000000.0,-102863000000.0,4617000000.0,4617000000.0,4617000000.0,NA,23597000000.0,155000000.0,8374000000,NA,78958000000.0,29012000000.0,19259000000,NA,NA,187000000,49946000000.0,286000000.0,11003000000.0,NA,NA,11476000000.0,5324000000,NA,105081000000.0,-26411000000.0,119641000000.0,1832000000,2009104000,31359000000,NA,NA,NA,NA,13063000000,19612000000,-12000000.0,15000000.0,NA,-20915000000,-5170000000,NA,NA,NA,NA,5674000000,5674000000,NA,NA,NA,NA,-306000000.0,NA,5344000000.0,70000000.0,9.468897578223924,0.4030260489783185,10473848697.551083,2.8400000000000003,91.25
SHEL,2010-12-31,USD,44827000000.0,368056000000.0,323229000000.0,323229000000.0,26244000000,15528000000.0,1019000000.0,18583000000.0,NA,NA,NA,1009000000,NA,NA,NA,15595000000,35344000000,14870000000,NA,NA,NA,36353000000,51948000000.0,20127000000,322560000000.0,112894000000.0,13444000000,13444000000,29348000000.0,NA,209666000000.0,NA,NA,5039000000.0,5039000000.0,NA,NA,NA,-10368000000.0,70102000000,NA,172780000000.0,100552000000.0,76550000000,NA,NA,9951000000,72228000000.0,NA,NA,NA,NA,44332000000.0,3745000000,NA,148013000000.0,NA,140179000000.0,529000000,3069650000,27350000000,NA,NA,NA,NA,15595000000,26940000000,NA,-2888000000.0,NA,-21972000000,-1467000000,NA,NA,NA,NA,9979000000,9979000000,NA,NA,NA,NA,NA,NA,NA,NA,6.556773573534442,0.4207220461747397,5962491455.409687,3.36,66.78
NFG,2011-09-30,USD,523064000.0,1778842000.0,1255778000.0,1255778000.0,441162000,1111153000.0,0.0,81902000.0,NA,NA,NA,78121000,NA,59742000.0,NA,226527000,422783000,164381000,NA,258402000.0,NA,500904000,727431000.0,258402000,5284742000.0,411901000.0,80428000,80428000,82257000.0,164774000.0,4899430000.0,4000524000.0,NA,5476000.0,5476000.0,5476000.0,NA,301133000.0,0.0,84442000,NA,3392857000.0,528618000.0,142228000,NA,NA,176151000,2786732000.0,NA,899000000.0,NA,NA,1089000000.0,159426000,853418000.0,1891885000.0,0.0,1206022000.0,82813000,83670802,678676000,NA,NA,NA,NA,226527000,837612000,3887000.0,-9934000.0,NA,-719044000,-276375000,NA,NA,NA,NA,114559000,114559000,NA,NA,NA,NA,-592000.0,NA,-316743000.0,NA,3.0883174754318716,0.38880702393426414,7379006.483231306,1.4,48.68
SHEL,2011-12-31,USD,60346000000.0,470171000000.0,409825000000.0,409825000000.0,42598000000,14335000000.0,1125000000.0,17748000000.0,NA,NA,NA,1462000000,NA,NA,NA,13228000000,55543000000,24475000000,NA,NA,NA,57005000000,70233000000.0,30918000000,345257000000.0,119777000000.0,11292000000,11292000000,28976000000.0,NA,225480000000.0,NA,NA,4521000000.0,4521000000.0,NA,NA,NA,NA,79509000000,NA,174254000000.0,102659000000.0,81846000000,NA,NA,6712000000,71595000000.0,NA,NA,NA,NA,37175000000.0,3495000000,NA,169517000000.0,NA,162987000000.0,536000000,3110850000,36771000000,NA,NA,NA,NA,13228000000,26301000000,NA,-1930000000.0,NA,-20443000000,-18131000000,NA,NA,NA,NA,6877000000,6877000000,NA,NA,NA,NA,-2035000000.0,NA,NA,NA,9.938762717585226,0.4406495868066183,17145770304.088722,3.36,73.09
XOM,2011-12-31,USD,111141000000.0,467029000000.0,355888000000.0,355888000000.0,54104000000,14983000000.0,1044000000.0,57037000000.0,NA,NA,NA,247000000,NA,15289000000.0,NA,15583000000,73257000000,31051000000,NA,42206000000.0,NA,73504000000,89087000000.0,41060000000,331052000000.0,72963000000.0,12664000000,12664000000,15024000000.0,38642000000.0,258089000000.0,214664000000.0,NA,9092000000.0,9092000000.0,0.0,NA,34333000000.0,404000000.0,6633000000,NA,170308000000.0,77505000000.0,33969000000,NA,NA,7711000000,92803000000.0,NA,9322000000.0,NA,NA,17033000000.0,15975000000,46863000000.0,154396000000.0,-176932000000.0,330939000000.0,9512000000,4875000000,55345000000,NA,NA,NA,NA,15583000000,30975000000,-7906000000.0,-2208000000.0,NA,-22165000000,-28256000000,NA,NA,NA,NA,9020000000,9020000000,NA,NA,NA,NA,-22055000000.0,NA,4839000000.0,-85000000.0,8.422564102564102,0.4238639310919093,33322305609.0203,1.85,84.76
CVX,2011-12-31,USD,81537000000.0,244371000000.0,162834000000.0,162834000000.0,38299000000,4745000000.0,627000000.0,43238000000.0,NA,NA,NA,0,NA,NA,NA,13288000000,47634000000,20626000000,NA,27008000000.0,NA,38299000000,51587000000.0,26895000000,209474000000.0,53234000000.0,15864000000,15864000000,5543000000.0,21793000000.0,156240000000.0,122608000000.0,-110824000000.0,4642000000.0,4642000000.0,4642000000.0,NA,25101000000.0,4207000000.0,5827000000,NA,87293000000.0,33600000000.0,22147000000,NA,NA,340000000,53693000000.0,128000000.0,9684000000.0,NA,NA,10152000000.0,5287000000,NA,121382000000.0,-29685000000.0,140399000000.0,1832000000,2000785000,41098000000,NA,NA,NA,NA,12911000000,26500000000,-150000000.0,-404000000.0,NA,-27489000000,-11772000000,NA,NA,NA,NA,6139000000,6139000000,NA,NA,NA,NA,-3193000000.0,NA,1804000000.0,-33000000.0,13.44222392710861,0.4330100348490574,13609000000.0,3.09,106.4
NFG,2012-09-30,USD,538337000.0,1626853000.0,1088516000.0,1088516000.0,448049000,907274000.0,0.0,90288000.0,NA,NA,NA,86240000,NA,8822000.0,NA,271530000,370631000,150554000,NA,220077000.0,NA,456871000,728401000.0,220077000,5935142000.0,355576000.0,74494000,74494000,78372000.0,137803000.0,5579566000.0,4739803000.0,NA,5476000.0,5476000.0,5476000.0,NA,265331000.0,0.0,50452000,NA,3975047000.0,734479000.0,87985000,NA,NA,421000000,3240568000.0,NA,1149000000.0,NA,NA,1570000000.0,183497000,862460000.0,1960095000.0,0.0,1306284000.0,83330000,83739771,660787000,NA,NA,NA,NA,271530000,1036784000,13859000.0,5405000.0,NA,-1036338000,369617000,NA,NA,NA,NA,118798000,118798000,NA,NA,NA,NA,10345000.0,NA,-5934000.0,NA,2.628106064440993,0.4062099500581441,-324342546.09301436,1.44,54.04
SHEL,2012-12-31,USD,56598000000.0,467153000000.0,410555000000.0,410555000000.0,37722000000,14616000000.0,1314000000.0,18876000000.0,NA,NA,NA,1547000000,NA,NA,NA,14615000000,50512000000,23449000000,NA,NA,NA,52059000000,66674000000.0,26592000000,350294000000.0,114734000000.0,18550000000,18550000000,30781000000.0,40210000000.0,219980000000.0,NA,NA,1855000000.0,1855000000.0,2615000000.0,NA,NA,NA,25193000000,NA,174112000000.0,96979000000.0,42448000000,NA,NA,7833000000,26054000000.0,NA,NA,NA,NA,37754000000.0,-601000000,NA,174749000000.0,NA,180246000000.0,542000000,3133900000,46140000000,NA,NA,NA,NA,14615000000,32576000000,NA,-1746000000.0,NA,-28453000000,-10630000000,NA,NA,NA,NA,7390000000,7390000000,NA,NA,NA,NA,-1526000000.0,NA,NA,NA,8.485273939819395,0.46422632245802975,18515841879.157425,3.42,68.95
CVX,2012-12-31,USD,76411000000.0,230590000000.0,154179000000.0,154179000000.0,35013000000,4724000000.0,648000000.0,41398000000.0,NA,NA,NA,0,NA,NA,NA,13968000000,46332000000,19996000000,NA,26336000000.0,NA,35013000000,48981000000.0,26179000000,232982000000.0,55720000000.0,20939000000,20939000000,6144000000.0,20997000000.0,177262000000.0,141348000000.0,-122133000000.0,4640000000.0,4640000000.0,4640000000.0,NA,26771000000.0,974000000.0,6666000000,NA,95150000000.0,34212000000.0,22776000000,NA,NA,127000000,60938000000.0,99000000.0,11966000000.0,NA,NA,12192000000.0,5738000000,NA,136524000000.0,-33884000000.0,159730000000.0,1832000000,1964755000,38812000000,NA,NA,NA,NA,13413000000,30938000000,-169000000.0,-233000000.0,NA,-24796000000,-8980000000,NA,NA,NA,NA,6844000000,6844000000,NA,NA,NA,NA,-4142000000.0,NA,5075000000.0,39000000.0,13.324307610872603,0.43158076491409825,14016000000.0,3.51,108.14
XOM,2012-12-31,USD,101156000000.0,451509000000.0,350353000000.0,350353000000.0,49881000000,13877000000.0,1042000000.0,51275000000.0,NA,NA,NA,327000000,NA,15010000000.0,NA,15888000000,78726000000,31045000000,NA,47681000000.0,NA,79053000000,94941000000.0,44880000000,333795000000.0,64460000000.0,9582000000,9582000000,14542000000.0,34987000000.0,269335000000.0,226949000000.0,NA,7668000000.0,7668000000.0,0.0,NA,34718000000.0,341000000.0,5349000000,NA,162135000000.0,64139000000.0,33789000000,NA,NA,3653000000,97996000000.0,NA,7928000000.0,NA,NA,11581000000.0,16939000000,52498000000.0,165863000000.0,-197333000000.0,365727000000.0,9653000000,4628000000,56170000000,NA,NA,NA,NA,15888000000,34271000000,-1082000000.0,-1873000000.0,NA,-25601000000,-33868000000,NA,NA,NA,NA,10092000000,10092000000,NA,NA,NA,NA,-21068000000.0,NA,-3082000000.0,217000000.0,9.697493517718236,0.394342402764017,30767050034.296165,2.18,86.55
NFG,2013-09-30,USD,600269000.0,1829551000.0,1229282000.0,1229282000.0,517838000,984953000.0,0.0,82431000.0,NA,NA,NA,94111000,NA,9032000.0,NA,326760000,432759000,172758000,NA,260001000.0,NA,526870000,853630000.0,260001000,6218347000.0,448677000.0,64858000,64858000,93796000.0,157062000.0,5769670000.0,5151726000.0,NA,5476000.0,5476000.0,5476000.0,NA,NA,0.0,118788000,NA,4023618000.0,302171000.0,105283000,NA,NA,150907000,3721447000.0,NA,1649000000.0,NA,NA,1649000000.0,196888000,NA,2194729000.0,0.0,1442617000.0,83662000,84341220,738572000,NA,NA,NA,NA,326760000,703461000,-17135000.0,-3016000.0,NA,-705983000,-42225000,NA,NA,NA,NA,122710000,122710000,NA,NA,NA,NA,5395000.0,NA,-9636000.0,NA,3.0827275204223983,0.39920140309040364,89130756.75375903,1.48,68.76
XOM,2013-12-31,USD,88384000000.0,420836000000.0,332452000000.0,332452000000.0,40301000000,12877000000.0,1044000000.0,48083000000.0,NA,NA,NA,9000000,NA,13927000000.0,NA,17182000000,57711000000,24263000000,NA,33448000000.0,NA,57720000000,74902000000.0,32580000000,346808000000.0,59308000000.0,4644000000,4644000000,16135000000.0,33152000000.0,287500000000.0,243650000000.0,NA,7522000000.0,7522000000.0,0.0,NA,36328000000.0,269000000.0,5377000000,NA,166313000000.0,71724000000.0,30920000000,NA,NA,15808000000,94589000000.0,NA,6891000000.0,NA,NA,22699000000.0,13282000000,47168000000.0,174003000000.0,-212781000000.0,387432000000.0,10077000000,4420624152,44914000000,NA,NA,NA,NA,17182000000,33669000000,-305000000.0,-1812000000.0,NA,-34201000000,-15476000000,NA,NA,NA,NA,10875000000,10875000000,NA,NA,NA,NA,-15998000000.0,NA,-4938000000.0,-175000000.0,7.369999999945709,0.42042244979293375,10718216197.951866,2.46,101.2
CVX,2013-12-31,USD,71274000000.0,220156000000.0,148882000000.0,148882000000.0,27213000000,4510000000.0,750000000.0,44061000000.0,NA,NA,NA,0,NA,NA,NA,14869000000,35905000000,14308000000,NA,21597000000.0,NA,27213000000,42082000000.0,21423000000,253753000000.0,50250000000.0,16245000000,16245000000,6380000000.0,21622000000.0,203503000000.0,165409000000.0,-131604000000.0,4639000000.0,4639000000.0,4639000000.0,NA,28335000000.0,271000000.0,5732000000,NA,103326000000.0,33018000000.0,22815000000,NA,NA,374000000,70308000000.0,97000000.0,19960000000.0,NA,NA,20431000000.0,5402000000,NA,149113000000.0,-38290000000.0,173677000000.0,1832000000,1932393000,35002000000,NA,NA,NA,NA,14186000000,37985000000,183000000.0,-237000000.0,NA,-35609000000,-3821000000,NA,NA,NA,NA,7474000000,7474000000,NA,NA,NA,NA,-4494000000.0,NA,-4694000000.0,-266000000.0,11.086254193634524,0.3984960311934271,-607000000.0,3.9,124.91
SHEL,2013-12-31,USD,48141000000.0,451235000000.0,403094000000.0,403094000000.0,26870000000,14675000000.0,1318000000.0,21271000000.0,NA,NA,NA,1560000000,NA,NA,NA,21509000000,33592000000,17066000000,NA,NA,NA,35152000000,56661000000.0,16371000000,357512000000.0,103343000000.0,9696000000,9696000000,30009000000.0,39094000000.0,254169000000.0,NA,NA,1831000000.0,1831000000.0,2563000000.0,NA,39328000000.0,NA,24544000000,NA,176364000000.0,93258000000.0,41927000000,NA,NA,7937000000,83106000000.0,NA,31480000000.0,44562000000.0,NA,44155000000.0,-9706000000,NA,180047000000.0,NA,183474000000.0,542000000,3146700000,40440000000,NA,NA,NA,NA,21509000000,40145000000,NA,608000000.0,NA,-40146000000,-8978000000,NA,NA,NA,NA,7198000000,7198000000,NA,NA,NA,NA,-5565000000.0,NA,NA,NA,5.2025931928687195,0.5080376280066683,1061461300.3096008,3.56,71.27
DEC,2013-12-31,NA,110000.0,5169000.0,5059000.0,5059000.0,-562000,308000.0,NA,557000.0,NA,NA,NA,2266000,NA,NA,NA,2308000,-2827000,116000,NA,NA,NA,-561000,1747000.0,-2827000,29405000.0,1362000.0,312000,312000,NA,NA,28043000.0,NA,NA,NA,NA,NA,NA,NA,NA,1050000,NA,34461000.0,2667000.0,1509000,NA,NA,179000,31794000.0,NA,NA,NA,NA,28609000.0,979000,NA,-5056000.0,NA,-5189000.0,611000,40100000,-730000,NA,NA,NA,NA,2308000,122000,NA,NA,NA,128000,839000,NA,NA,NA,NA,1127000,1127000,NA,NA,NA,NA,NA,NA,NA,NA,-0.07049875311720698,-0.04103289706402547,1756980.5447470816,NA,NA
NFG,2014-09-30,USD,660384000.0,2113081000.0,1452697000.0,1452697000.0,569673000,1159627000.0,0.0,90711000.0,NA,NA,NA,94277000,NA,13631000.0,NA,383781000,489027000,189614000,NA,299413000.0,NA,583304000,967085000.0,299413000,6739597000.0,377332000.0,36886000,36886000,67239000.0,183609000.0,6362265000.0,5743091000.0,NA,5476000.0,5476000.0,5476000.0,NA,322879000.0,0.0,86864000,NA,4328914000.0,490576000.0,136674000,NA,NA,85600000,3838338000.0,NA,1649000000.0,1723043000.0,NA,1723043000.0,262504000,598002000.0,2410683000.0,0.0,1614361000.0,84157000,84952347,909390000,NA,NA,NA,NA,383781000,914417000,-22781000.0,13285000.0,NA,-908435000,-28927000,NA,NA,NA,NA,126642000,126642000,NA,NA,NA,NA,7474000.0,NA,-27972000.0,NA,3.5244817897732714,0.3877372823995403,58677292.22721851,1.52,69.99
DEC,2014-12-31,NA,1639000.0,7358000.0,5719000.0,5719000.0,2666000,697000.0,NA,1141000.0,NA,NA,NA,2734000,NA,NA,NA,2531000,-238000,-1254000,NA,NA,NA,2496000,5027000.0,-238000,34440000.0,2083000.0,34000,34000,876000.0,1151000.0,32357000.0,NA,NA,NA,NA,NA,NA,NA,NA,898000,NA,41777000.0,24450000.0,2498000,NA,NA,20806000,17327000.0,NA,NA,NA,NA,34365000.0,1146000,NA,-7337000.0,NA,-7470000.0,611000,40100000,1538000,NA,NA,NA,NA,2531000,415000,NA,NA,NA,197000,-2013000,NA,NA,NA,NA,3515000,3515000,NA,NA,NA,NA,NA,NA,NA,NA,-0.005935162094763092,5.26890756302521,-9936193.277310925,NA,NA
XOM,2014-12-31,USD,80635000000.0,394105000000.0,313470000000.0,313470000000.0,34082000000,12598000000.0,971000000.0,46553000000.0,NA,NA,NA,286000000,NA,13323000000.0,NA,17297000000,51630000000,18015000000,NA,33615000000.0,NA,51916000000,69213000000.0,32520000000,349493000000.0,52910000000.0,4616000000,4616000000,16678000000.0,28009000000.0,296583000000.0,252668000000.0,NA,8676000000.0,8676000000.0,0.0,NA,35239000000.0,42000000.0,3607000000,NA,168429000000.0,64633000000.0,25286000000,NA,NA,17468000000,103796000000.0,NA,11653000000.0,770000000.0,NA,29121000000.0,13651000000,52913000000.0,174399000000.0,-225820000000.0,408384000000.0,10792000000,4278947368,45116000000,NA,NA,NA,NA,17297000000,32952000000,3118000000.0,-1343000000.0,NA,-26975000000,-17888000000,NA,NA,NA,NA,11568000000,11568000000,NA,NA,NA,NA,-13183000000.0,NA,-28000000.0,-281000000.0,7.600000000747848,0.34892504357931436,18327207437.536316,2.7,92.45
SHEL,2014-12-31,USD,39290000000.0,421105000000.0,381815000000.0,381815000000.0,19879000000,13965000000.0,1222000000.0,19411000000.0,NA,NA,NA,1799000000,NA,NA,NA,24499000000,28314000000,13686000000,NA,14730000000.0,NA,30113000000,54612000000.0,15052000000,353116000000.0,99778000000.0,21607000000,21607000000,19701000000.0,31566000000.0,253338000000.0,192472000000.0,NA,4680000000.0,4680000000.0,2396000000.0,NA,35673000000.0,NA,26904000000,NA,180330000000.0,86212000000.0,32131000000,NA,NA,7208000000,94118000000.0,NA,32144000000.0,5104000000.0,NA,45540000000.0,37076000000,NA,171966000000.0,NA,186981000000.0,540000000,3155800000,45044000000,NA,NA,NA,NA,24499000000,31854000000,NA,7958000000.0,NA,-19657000000,-12790000000,NA,NA,NA,NA,9444000000,9444000000,NA,NA,NA,NA,-3328000000.0,NA,NA,NA,4.769630521579314,0.48336511972875607,26316426149.60797,3.72,66.95
CVX,2014-12-31,USD,64030000000.0,200494000000.0,136464000000.0,136464000000.0,19726000000,4494000000.0,707000000.0,44304000000.0,NA,NA,NA,0,NA,NA,NA,17668000000,31202000000,11892000000,NA,19310000000.0,NA,19726000000,37394000000.0,19241000000,266026000000.0,42232000000.0,12785000000,12785000000,6505000000.0,16736000000.0,223794000000.0,183173000000.0,-144116000000.0,4593000000.0,4593000000.0,4593000000.0,NA,29729000000.0,430000000.0,5776000000,NA,109835000000.0,31926000000.0,19000000000,NA,NA,3790000000,77909000000.0,68000000.0,23960000000.0,27818000000.0,NA,27818000000.0,5328000000,NA,155028000000.0,-42733000000.0,184987000000.0,1832000000,1897897000,31475000000,NA,NA,NA,NA,16793000000,35407000000,-9000000.0,-146000000.0,NA,-29893000000,-4999000000,NA,NA,NA,NA,7928000000,7928000000,NA,NA,NA,NA,-4412000000.0,NA,-3460000000.0,-43000000.0,10.138063340634396,0.3811294147811038,1582000000.0,4.21,112.18
NFG,2015-09-30,USD,604768000.0,1760913000.0,1156145000.0,1156145000.0,-611053000,909551000.0,0.0,1215821000.0,NA,NA,95549000.0,99471000,NA,11961000.0,NA,336158000,-698563000,-319136000,NA,-379427000.0,NA,-599092000,-262934000.0,-379427000,6717130000.0,513001000.0,113596000,113596000,64666000.0,125750000.0,6204129000.0,5331895000.0,NA,5476000.0,5476000.0,5476000.0,NA,531567000.0,0.0,60665000,NA,4691690000.0,446140000.0,180388000,NA,NA,222950000,4245550000.0,NA,2084009000.0,2084009000.0,NA,2306959000.0,10076000,742584000.0,2025440000.0,0.0,1103200000.0,84594000,84387755,853580000,NA,NA,NA,NA,336158000,1018179000,51638000.0,3438000.0,NA,-1024790000,247920000,NA,NA,NA,NA,130719000,130719000,NA,NA,NA,NA,10540000.0,NA,76710000.0,NA,-4.4962328954005235,0.4568464118483229,-117181969.43296456,1.56,49.98
SHEL,2015-12-31,USD,15507000000.0,264960000000.0,249453000000.0,249453000000.0,-3261000000,11956000000.0,1093000000.0,18768000000.0,NA,NA,NA,1925000000,NA,NA,NA,26714000000,2047000000,-153000000,NA,2200000000.0,NA,3972000000,30686000000.0,1939000000,340157000000.0,93358000000.0,31752000000,31752000000,15822000000.0,22714000000.0,246799000000.0,182838000000.0,NA,4273000000.0,4273000000.0,2010000000.0,NA,33566000000.0,NA,23070000000,NA,176036000000.0,70948000000.0,23795000000,NA,NA,5530000000,105088000000.0,NA,47195000000.0,4100000000.0,NA,58379000000.0,33390000000,NA,162876000000.0,NA,180100000000.0,546000000,3196900000,29810000000,NA,NA,NA,NA,26714000000,26131000000,NA,2827000000.0,NA,-22407000000,3812000000,NA,NA,NA,NA,9370000000,9370000000,NA,NA,NA,NA,-448000000.0,NA,NA,NA,0.6065250711626888,-0.07474352711284807,9471881289.692234,3.76,45.79
XOM,2015-12-31,USD,56216000000.0,239854000000.0,183638000000.0,183638000000.0,12883000000,11501000000.0,1008000000.0,43333000000.0,NA,NA,7333000000.0,311000000,NA,7644000000.0,NA,18048000000,21966000000,5415000000,NA,16551000000.0,NA,22277000000,40325000000.0,16150000000,336758000000.0,42623000000.0,3705000000,3705000000,16245000000.0,19875000000.0,294135000000.0,251605000000.0,NA,8285000000.0,8285000000.0,0.0,NA,34245000000.0,0.0,2798000000,NA,159948000000.0,53976000000.0,18074000000,NA,NA,18762000000,105972000000.0,NA,18687000000.0,558000000.0,NA,38687000000.0,11401000000,49229000000.0,170811000000.0,-229734000000.0,412444000000.0,11612000000,4194805195,30344000000,NA,NA,NA,NA,18048000000,26490000000,4692000000.0,-379000000.0,NA,-23824000000,-7037000000,NA,NA,NA,NA,12090000000,12090000000,NA,NA,NA,NA,-4039000000.0,NA,-911000000.0,-394000000.0,3.8499999998212076,0.24651734498770828,6754333105.708824,2.88,77.95
CVX,2015-12-31,USD,39137000000.0,129925000000.0,90788000000.0,90788000000.0,-3710000000,4443000000.0,601000000.0,42847000000.0,NA,NA,4988000000.0,0,NA,NA,NA,23346000000,4842000000,132000000,NA,4710000000.0,NA,-3710000000,19636000000.0,4587000000,264540000000.0,34430000000.0,11022000000,11022000000,6334000000.0,12860000000.0,230110000000.0,189845000000.0,-151881000000.0,4588000000.0,4588000000.0,4588000000.0,NA,29522000000.0,310000000.0,3904000000,NA,110654000000.0,25467000000.0,13516000000,NA,NA,4927000000,85187000000.0,80000000.0,33584000000.0,1486000000.0,NA,38549000000.0,5951000000,NA,152716000000.0,-42493000000.0,181578000000.0,1832000000,1874971000,19456000000,NA,NA,NA,NA,21037000000,29504000000,-59000000.0,85000000.0,NA,-23808000000,2815000000,NA,NA,NA,NA,7992000000,7992000000,NA,NA,NA,NA,10756000000.0,NA,-1763000000.0,-226000000.0,2.4464378382385648,0.027261462205700124,-4352000000.0,4.28,89.96
DEC,2015-12-31,NA,-1335000.0,6304000.0,7639000.0,7639000.0,4631000,472000.0,NA,1089000.0,NA,NA,NA,3177000,NA,NA,NA,3388000,-413000,-473000,NA,NA,NA,2764000,6152000.0,-413000,46487000.0,1909000.0,90000,90000,431000.0,1345000.0,44578000.0,NA,NA,NA,NA,NA,NA,NA,NA,60000,NA,55304000.0,25985000.0,1610000,NA,NA,22936000,29319000.0,NA,NA,NA,NA,43109000.0,1439000,NA,-8817000.0,NA,-8969000.0,630000,2005000,-3931000,NA,NA,NA,NA,3388000,3729000,NA,NA,NA,-3649000,7636000,NA,NA,NA,NA,2399000,2399000,NA,NA,NA,NA,NA,NA,NA,NA,-0.2059850374064838,1.145278450363196,-8041549.636803874,NA,NA
NFG,2016-09-30,USD,613503000.0,1452416000.0,838913000.0,838913000.0,-416518000,671210000.0,0.0,1030021000.0,NA,-116809000.0,4235000.0,121044000,NA,14055000.0,NA,249417000,-523507000,-232549000,NA,-290958000.0,NA,-402463000,-153046000.0,-290958000,5636387000.0,413031000.0,129972000,129972000,70638000.0,151583000.0,5223356000.0,4454482000.0,NA,5476000.0,5476000.0,5476000.0,NA,401729000.0,0.0,59354000,NA,4109383000.0,303737000.0,108056000,NA,NA,163340000,3805646000.0,NA,2086252000.0,2086252000.0,NA,2249592000.0,1560000,775974000.0,1527004000.0,0.0,676361000.0,85119000,84847993,588979000,NA,NA,NA,NA,249417000,581576000,-6408000.0,-3532000.0,NA,-453496000,-119107000,NA,NA,NA,NA,134824000,134824000,NA,NA,NA,NA,13849000.0,NA,16376000.0,NA,-3.429167735293397,0.444213735441933,202757592.60716665,1.6,54.07
DEC,2016-12-31,NA,1473000.0,18279000.0,16806000.0,16806000.0,22450000,896000.0,NA,2499000.0,NA,NA,NA,3291000,NA,NA,NA,4039000,32511000,14829000,NA,NA,NA,34929000,38968000.0,17682000,85875000.0,4619000.0,224000,224000,1.0,3084000.0,81256000.0,NA,NA,NA,NA,NA,NA,NA,NA,1311000,NA,76713000.0,38499000.0,3439000,NA,NA,30850000,38214000.0,NA,NA,NA,NA,37737000.0,2083000,NA,9162000.0,NA,8658000.0,669000,2100550,5129000,NA,NA,NA,NA,4039000,9300000,NA,NA,NA,-9209000,4214000,NA,NA,NA,NA,956000,956000,NA,NA,NA,NA,NA,NA,NA,NA,8.417795339315893,0.45612254313924516,-2290099.2894712556,NA,NA
